timestamp,cpu_usage,memory_usage,net_io,disk_io,cloud_provider,region,vm_type,vCPU,RAM_GB,price_per_hour,target,latency_ms,throughput,utilization,cost
1/1/2024 0:00,43.71,95.56,379.4,638.79,Azure,us-east,t2.micro,1,1,0.0116,scale_up,228.02,1380.99,69.64,0.0174
1/1/2024 0:05,15.23,87.96,320.5,737.27,Azure,us-west,t2.micro,1,1,0.0116,scale_up,243.71,1059.03,51.59,0.0174
1/1/2024 0:10,26.36,26.51,186.91,572.28,AWS,us-east,B1s,1,1,0.012,scale_down,256.32,500.59,26.44,0.018
1/1/2024 0:15,65.07,22.55,181.47,429.73,AWS,asia-south,B1s,1,1,0.012,no_action,270.85,864.91,43.81,0.018
1/1/2024 0:20,27.97,56.28,316.59,141.81,Azure,us-east,B1s,1,1,0.012,no_action,246.37,861.28,42.12,0.018
1/1/2024 0:25,15.85,95.4,484.53,827.56,GCP,us-east,t2.micro,1,1,0.0116,scale_up,238.37,1097.92,55.62,0.0174
1/1/2024 0:30,71.58,49.61,104.92,545.66,AWS,us-east,t2.micro,1,1,0.0116,no_action,247.63,1150.86,60.59,0.0174
1/1/2024 0:35,38.05,56.81,296.02,266.37,Azure,asia-south,t2.micro,1,1,0.0116,no_action,259.95,957.17,47.43,0.0174
1/1/2024 0:40,17.96,27.64,70.35,392.8,Azure,us-east,B1s,1,1,0.012,scale_down,262.41,420.01,22.8,0.018
1/1/2024 0:45,84.59,42.11,176.42,588.43,Azure,asia-south,B1s,1,1,0.012,no_action,239.89,1247.75,63.35,0.018
1/1/2024 0:50,16.71,98.82,397.51,278.84,GCP,us-east,n1-standard-1,1,3.75,0.0475,scale_up,252.54,1201.86,57.77,0.1366
1/1/2024 0:55,79.41,16.66,211.31,204.28,Azure,us-west,t2.micro,1,1,0.0116,no_action,255.28,1009.48,48.03,0.0174
1/1/2024 1:00,39.78,15.72,189.94,392.66,AWS,asia-south,n1-standard-1,1,3.75,0.0475,no_action,280.38,622.81,27.75,0.1366
1/1/2024 1:05,89.85,52.5,103.82,741.92,GCP,us-west,t2.micro,1,1,0.0116,scale_up,232.44,1500.4,71.17,0.0174
1/1/2024 1:10,79.39,54.44,285.23,484.79,AWS,us-west,t2.micro,1,1,0.0116,no_action,233.96,1323.35,66.91,0.0174
1/1/2024 1:15,38.29,55.77,458.4,324.36,AWS,us-west,t2.micro,1,1,0.0116,no_action,267.75,914.69,47.03,0.0174
1/1/2024 1:20,30.59,16.93,180.39,245.1,GCP,us-west,B1s,1,1,0.012,no_action,285.39,491.64,23.76,0.018
1/1/2024 1:25,82.33,26.79,451.65,585.41,GCP,us-east,B1s,1,1,0.012,no_action,238.42,1074.82,54.56,0.018
1/1/2024 1:30,30.51,48.44,418.11,874.66,GCP,asia-south,t2.micro,1,1,0.0116,no_action,260.58,777.77,39.48,0.0174
1/1/2024 1:35,47.57,29.99,103.94,403.85,GCP,us-east,B1s,1,1,0.012,no_action,259.61,795.8,38.78,0.018
1/1/2024 1:40,56.69,73.27,213.63,974.6,GCP,asia-south,B1s,1,1,0.012,no_action,215.83,1298.27,64.98,0.018
1/1/2024 1:45,35.64,13.32,324.3,552.41,GCP,asia-south,t2.micro,1,1,0.0116,no_action,273.6,504.68,24.48,0.0174
1/1/2024 1:50,23.04,54.05,493.54,317.85,Azure,us-east,t2.micro,1,1,0.0116,no_action,272.88,808.5,38.55,0.0174
1/1/2024 1:55,31.39,75.54,215.5,669.08,Azure,us-east,n1-standard-1,1,3.75,0.0475,no_action,252.4,1178.82,53.47,0.1366
1/1/2024 2:00,18.13,85.18,194.35,267.87,AWS,us-east,t2.micro,1,1,0.0116,scale_up,249.34,1007.93,51.66,0.0174
1/1/2024 2:05,70.98,11.49,280.44,303.85,GCP,us-west,n1-standard-1,1,3.75,0.0475,no_action,248.14,848.38,41.23,0.1366
1/1/2024 2:10,72.18,44.81,471.53,223.77,Azure,us-west,t2.micro,1,1,0.0116,no_action,233.67,1153.8,58.5,0.0174
1/1/2024 2:15,93.22,88.96,166.07,693.99,GCP,us-west,t2.micro,1,1,0.0116,scale_up,211.18,1887.16,91.09,0.0174
1/1/2024 2:20,57.67,31.77,91.9,907.49,Azure,us-west,B1s,1,1,0.012,no_action,257.88,933.49,44.72,0.018
1/1/2024 2:25,40.51,41.43,376.68,907.4,Azure,asia-south,t2.micro,1,1,0.0116,no_action,261.53,836.72,40.97,0.0174
1/1/2024 2:30,67.78,17.57,122.73,908.7,Azure,asia-south,t2.micro,1,1,0.0116,no_action,260.26,817.78,42.67,0.0174
1/1/2024 2:35,10.46,24.47,296.93,722.71,Azure,asia-south,t2.micro,1,1,0.0116,scale_down,270.62,382.13,17.46,0.0174
1/1/2024 2:40,74.1,31.35,196.43,771.84,AWS,us-west,n1-standard-1,1,3.75,0.0475,no_action,256.91,1075.14,52.72,0.1366
1/1/2024 2:45,69.19,61.15,92.15,430.94,GCP,asia-south,B1s,1,1,0.012,no_action,225.93,1262.61,65.17,0.018
1/1/2024 2:50,97.57,45.38,451.42,668.02,Azure,us-east,B1s,1,1,0.012,scale_up,228.66,1502.18,71.47,0.018
1/1/2024 2:55,61.92,54.33,137.86,750.21,GCP,us-east,t2.micro,1,1,0.0116,no_action,231.17,1186.62,58.12,0.0174
1/1/2024 3:00,94.64,95.85,461.69,433.14,AWS,us-west,n1-standard-1,1,3.75,0.0475,scale_up,209.49,1901.26,95.25,0.1366
1/1/2024 3:05,96.73,86.77,182.5,446.59,GCP,us-east,t2.micro,1,1,0.0116,scale_up,203.78,1877.82,91.75,0.0174
1/1/2024 3:10,25.25,60.11,471.27,726.43,Azure,asia-south,n1-standard-1,1,3.75,0.0475,no_action,248.48,861.29,42.68,0.1366
1/1/2024 3:15,65.35,99.1,113.04,566.5,AWS,asia-south,n1-standard-1,1,3.75,0.0475,scale_up,221.35,1672.54,82.22,0.1366
1/1/2024 3:20,72.73,73.22,211.77,364.23,GCP,asia-south,n1-standard-1,1,3.75,0.0475,no_action,232.18,1485.19,72.97,0.1366
1/1/2024 3:25,88.04,92.19,280.1,551.36,AWS,us-west,t2.micro,1,1,0.0116,scale_up,215.59,1859.08,90.12,0.0174
1/1/2024 3:30,73.18,81.62,450.5,404.2,AWS,asia-south,B1s,1,1,0.012,no_action,214.87,1536.16,77.4,0.018
1/1/2024 3:35,62.05,13.23,259.52,588.38,Azure,us-west,B1s,1,1,0.012,no_action,269.22,672.16,37.64,0.018
1/1/2024 3:40,12.75,13.36,420.17,424.17,Azure,us-west,B1s,1,1,0.012,scale_down,287.59,207.21,13.05,0.018
1/1/2024 3:45,79.3,29.42,330.3,176.81,GCP,us-west,t2.micro,1,1,0.0116,no_action,246.1,1054.62,54.36,0.0174
1/1/2024 3:50,58.66,67.37,376.74,978.27,AWS,asia-south,n1-standard-1,1,3.75,0.0475,no_action,216.73,1269.62,63.02,0.1366
1/1/2024 3:55,81.57,34.37,247.54,170.61,AWS,us-east,t2.micro,1,1,0.0116,no_action,247.08,1202.69,57.97,0.0174
1/1/2024 4:00,46.81,25.6,120.4,325.22,AWS,asia-south,t2.micro,1,1,0.0116,no_action,281.45,744.35,36.2,0.0174
1/1/2024 4:05,69.42,35.19,479.69,764.11,Azure,us-west,B1s,1,1,0.012,no_action,268.92,1097.72,52.3,0.018
1/1/2024 4:10,47.76,32.3,210.19,782.06,AWS,us-west,n1-standard-1,1,3.75,0.0475,no_action,264.41,839.33,40.03,0.1366
1/1/2024 4:15,52.68,18.81,271.23,526.12,Azure,us-west,B1s,1,1,0.012,no_action,261.73,652.51,35.74,0.018
1/1/2024 4:20,45.87,65.43,335.79,140.77,GCP,asia-south,t2.micro,1,1,0.0116,no_action,258.76,1041.21,55.65,0.0174
1/1/2024 4:25,55.28,87.08,346.41,246.64,Azure,asia-south,t2.micro,1,1,0.0116,scale_up,230.81,1393.59,71.18,0.0174
1/1/2024 4:30,12.39,62.72,473.1,617.93,Azure,asia-south,n1-standard-1,1,3.75,0.0475,no_action,278.31,689.21,37.55,0.1366
1/1/2024 4:35,51.24,59.11,473.66,447.49,Azure,us-west,t2.micro,1,1,0.0116,no_action,247.63,1072.37,55.17,0.0174
1/1/2024 4:40,16.41,38.71,430.19,120.94,GCP,us-west,t2.micro,1,1,0.0116,no_action,266.55,593.68,27.56,0.0174
1/1/2024 4:45,20.63,72.71,333.02,889.72,GCP,us-east,B1s,1,1,0.012,no_action,261.46,964.88,46.67,0.018
1/1/2024 4:50,35.38,25.97,387.78,826.15,Azure,us-west,B1s,1,1,0.012,no_action,269.12,619.37,30.68,0.018
1/1/2024 4:55,43.48,79.88,203.36,937.68,AWS,asia-south,t2.micro,1,1,0.0116,no_action,236.14,1288.54,61.68,0.0174
1/1/2024 5:00,77.58,77.91,96.41,912.3,Azure,us-west,B1s,1,1,0.012,no_action,235.31,1555.95,77.75,0.018
1/1/2024 5:05,38.8,90.6,225.14,109.75,Azure,asia-south,t2.micro,1,1,0.0116,scale_up,238.54,1287.49,64.7,0.0174
1/1/2024 5:10,95.55,61.61,334.33,503.6,AWS,us-west,t2.micro,1,1,0.0116,scale_up,211.36,1510.89,78.58,0.0174
1/1/2024 5:15,70.53,77.71,406.21,810.66,Azure,asia-south,t2.micro,1,1,0.0116,no_action,225.76,1437.54,74.12,0.0174
1/1/2024 5:20,15.18,59.46,248.69,898.93,Azure,us-west,n1-standard-1,1,3.75,0.0475,no_action,254.43,730.33,37.32,0.1366
1/1/2024 5:25,22.87,78.54,328.2,191.01,AWS,us-east,n1-standard-1,1,3.75,0.0475,no_action,251.74,988.75,50.71,0.1366
1/1/2024 5:30,16.55,83.97,367.81,173.21,GCP,us-east,t2.micro,1,1,0.0116,no_action,235.26,934.83,50.26,0.0174
1/1/2024 5:35,83.15,95.25,493.7,778.04,AWS,asia-south,t2.micro,1,1,0.0116,scale_up,203.62,1773.33,89.2,0.0174
1/1/2024 5:40,79.94,60.26,240.9,915.72,AWS,asia-south,n1-standard-1,1,3.75,0.0475,no_action,229.71,1351.87,70.1,0.1366
1/1/2024 5:45,11.02,52.18,75.34,206.94,AWS,asia-south,t2.micro,1,1,0.0116,no_action,271.63,590.64,31.6,0.0174
1/1/2024 5:50,77.14,62.5,482.98,437.38,AWS,asia-south,n1-standard-1,1,3.75,0.0475,no_action,237.08,1376.34,69.82,0.1366
1/1/2024 5:55,30.12,96.69,55.47,972.89,Azure,us-east,n1-standard-1,1,3.75,0.0475,scale_up,238.84,1268.73,63.41,0.1366
1/1/2024 6:00,16.64,59.85,486.19,570.79,Azure,asia-south,n1-standard-1,1,3.75,0.0475,no_action,276.27,812.86,38.25,0.1366
1/1/2024 6:05,50.91,66.48,312.94,911.04,AWS,asia-south,B1s,1,1,0.012,no_action,263.2,1133.49,58.7,0.018
1/1/2024 6:10,34.96,26.93,258.66,418.02,Azure,us-east,B1s,1,1,0.012,no_action,261.46,626.42,30.95,0.018
1/1/2024 6:15,97.7,98.76,364.17,582.49,GCP,us-west,B1s,1,1,0.012,scale_up,211.27,1935.75,98.23,0.018
1/1/2024 6:20,71.63,24.64,459.92,840.28,Azure,us-west,n1-standard-1,1,3.75,0.0475,no_action,238.66,1054.27,48.13,0.1366
1/1/2024 6:25,93.95,87.95,70.35,123.73,Azure,us-west,t2.micro,1,1,0.0116,scale_up,220.84,1795.54,90.95,0.0174
1/1/2024 6:30,98.85,23.54,317.36,442.8,AWS,us-east,t2.micro,1,1,0.0116,scale_up,237.66,1285.79,61.19,0.0174
1/1/2024 6:35,47.33,34.61,75.37,878.25,GCP,us-east,B1s,1,1,0.012,no_action,259.08,821.75,40.97,0.018
1/1/2024 6:40,79.21,95.03,432.34,322.61,Azure,us-east,B1s,1,1,0.012,scale_up,202.2,1735.28,87.12,0.018
1/1/2024 6:45,95.86,64.56,152.89,704.53,AWS,us-east,t2.micro,1,1,0.0116,scale_up,204.45,1668.08,80.21,0.0174
1/1/2024 6:50,20.22,70.44,284.14,795.09,Azure,asia-south,t2.micro,1,1,0.0116,no_action,266.46,909.98,45.33,0.0174
1/1/2024 6:55,59.67,60.48,444.49,463.13,AWS,us-east,t2.micro,1,1,0.0116,no_action,246.38,1269.93,60.08,0.0174
1/1/2024 7:00,73.37,29.17,111.37,113.09,GCP,us-east,B1s,1,1,0.012,no_action,259.31,937.46,51.27,0.018
1/1/2024 7:05,45.3,49.37,456.87,413.43,AWS,us-west,B1s,1,1,0.012,no_action,267.69,950.4,47.33,0.018
1/1/2024 7:10,45.69,65.99,438.06,954.57,GCP,us-east,B1s,1,1,0.012,no_action,227.13,1114.02,55.84,0.018
1/1/2024 7:15,51.32,98.2,271.68,395.88,AWS,asia-south,B1s,1,1,0.012,scale_up,212.2,1528.68,74.76,0.018
1/1/2024 7:20,16.83,21.6,107.62,236.71,Azure,us-west,t2.micro,1,1,0.0116,scale_down,284.45,337.31,19.21,0.0174
1/1/2024 7:25,26.37,41.11,453.55,526.57,GCP,us-west,t2.micro,1,1,0.0116,no_action,256.4,700,33.74,0.0174
1/1/2024 7:30,27.31,13.68,126.02,350.73,AWS,us-east,B1s,1,1,0.012,scale_down,278.43,358.14,20.49,0.018
1/1/2024 7:35,28.57,42.78,276.54,721.36,GCP,us-west,n1-standard-1,1,3.75,0.0475,no_action,257.33,724.2,35.67,0.1366
1/1/2024 7:40,88.62,92.88,77.49,349.19,GCP,us-west,B1s,1,1,0.012,scale_up,215.39,1852.88,90.75,0.018
1/1/2024 7:45,26.61,28.84,216.71,536.07,AWS,asia-south,B1s,1,1,0.012,scale_down,257.12,622.84,27.73,0.018
